CQUIRER_NAME,LOCATION_NAME,STREET_NUMBER ,STREET_NAME,CITY , POSTAL_CODE,PROVINCE_NAME,COUNTRIE_NAME ,IS_WHITE_LABEL_ACQUIRER
ALL TRANS CREDIT UNION LIMITED                                                  ,ATCU - SUNLIFE CENTRE                                                                               ,3250,BLOOR                                                                                               ,ETOBICOKE                               ,M8X 2X9   ,ONTARIO                                 ,CANADA                                                      ,N
ALL TRANS CREDIT UNION LIMITED                                                  ,LONDON DOWNTOWN TICKET OFFICE                                                                       ,150,DUNDAS                                                                                              ,LONDON                                  ,N6A 1G1   ,ONTARIO                                 ,CANADA                                                      ,N
ALL TRANS CREDIT UNION LIMITED                                                  ,LONDON BRANCH                                                                                       ,450,HIGHBURY                                                                                            ,LONDON                                  ,N5W 5L2   ,ONTARIO                                 ,CANADA                                                      ,N
ALL TRANS CREDIT UNION LIMITED                                                  ,HILLCREST BRANCH                                                                                    ,1138,BATHURST                                                                                            ,TORONTO                                 ,M5R 3H2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,FRANCIS FUELS                                                                                       ,365,OTTAWA                                                                                              ,ALMONTE                                 ,K0A 1A0   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - BOLTON BRANCH                                                                     ,1,QUEENSGATE                                                                                          ,BOLTON                                  ,L7E 2X7   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - BRAMALEA BRANCH - DRIVE THRU                                                      ,2909,QUEEN                                                                                               ,BRAMPTON                                ,L6T 5J1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - BRAMALEA BRANCH                                                                   ,2909,QUEEN                                                                                               ,BRAMPTON                                ,L6T 5J1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS ATTWELL BRANCH                                                                      ,165,ATTWELL                                                                                             ,ETOBICOKE                               ,M9W 5Y5   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - LAKESHORE BRANCH                                                                  ,3001,LAKE SHORE                                                                                          ,ETOBICOKE                               ,M8V 1J8   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS                                                                                     ,1941,OGILVIE                                                                                             ,GLOUCESTER                              ,K1J 1B7   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,HAZELDEAN MALL                                                                                      ,300,EAGLESON                                                                                            ,KANATA                                  ,K2M 1C9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - KINGSTON BRANCH                                                                   ,823,NORWEST                                                                                             ,KINGSTON                                ,K7P 2N4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,PHARMASAVE                                                                                          ,990,RIVER                                                                                               ,MANOTICK                                ,K4M 1B9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,REVENUE CANADA & CUSTOMS                                                                            ,5800,HURONTARIO                                                                                          ,MISSISSAUGA                             ,L5R 4B4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - STREETSVILLE BRANCH                                                               ,113,QUEEN                                                                                               ,MISSISSAUGA                             ,L5M 1K7   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - MERIVALE BRANCH                                                                   ,1715,MERIVALE                                                                                            ,NEPEAN                                  ,K2G 3K2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - BELLS CORNERS BRANCH                                                              ,90,ROBERTSON                                                                                           ,NEPEAN                                  ,K2H 5Z2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,MULLIGAN CENTRE - BARRHAVEN                                                                         ,2900,WOODROFFE                                                                                           ,NEPEAN                                  ,K2J 4G3   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS BRANCH - NORTH BAY                                                                  ,107,SHIRREFF                                                                                            ,NORTH BAY                               ,P1B 7K8   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - YORK UNIVERSITY BRANCH                                                            ,4700,KEELE                                                                                               ,NORTH YORK                              ,M3J 1P3   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - SHEPARD BRANCH                                                                    ,4900,YONGE                                                                                               ,NORTH YORK                              ,M2N 5N4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - ORLEANS BRANCH - PLACE CENTRUM                                                    ,210,CENTRUM                                                                                             ,ORLÉANS                                 ,K1E 3V7   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,OTTAWA INTERNATIONAL AIRPORT                                                                        ,1000,AIRPORT PARKWAY                                                                                     ,OTTAWA                                  ,K1V 9B4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS-MAIN BRANCH-PARKING LOT                                                             ,400,ALBERT                                                                                              ,OTTAWA                                  ,K1R 5B2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,YMCA                                                                                                ,180,ARGYLE                                                                                              ,OTTAWA                                  ,K2P 1B7   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - SOUTH KEYS BRANCH                                                                 ,2300,BANK                                                                                                ,OTTAWA                                  ,K1V 8S1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS -SOUTHKEYS BRANCH - DRIVE-THRU                                                      ,2300,BANK                                                                                                ,OTTAWA                                  ,K1V 8S1   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,BANK AND SOMERSET                                                                                   ,271,BANK                                                                                                ,OTTAWA                                  ,K2P 1X5   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,SKYLINE TOWER 6 COMPLEX                                                                             ,1341,BASELINE                                                                                            ,OTTAWA                                  ,K1A 0C5   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,NATURAL RESOURCES CANADA                                                                            ,580,BOOTH                                                                                               ,OTTAWA                                  ,K1A 0E4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,CARLINGWOOD SHOPPING CENTRE                                                                         ,2121,CARLING                                                                                             ,OTTAWA                                  ,K2A 1H2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,LINCOLN HEIGHTS SHOPPING CENTER                                                                     ,2525,CARLING                                                                                             ,OTTAWA                                  ,K2B 7Z2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,"DEPARTMENT OF NATIONAL DEFENSE DND""""                                                                ",101,COLONEL BY                                                                                          ,OTTAWA                                  ,K1A 0K2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,JEANNE MANCE BUILDING #19 - TUNNEY'S PASTURE                                                        ,200,EGLANTINE DRWY                                                                                      ,OTTAWA                                  ,K1A 1B4   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - MAIN BRANCH - PLACE DE VILLE II                                                   ,112,KENT                                                                                                ,OTTAWA                                  ,K1P 5N9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS- MAIN BRANCH - PLACE DE VILLE II                                                    ,112,KENT                                                                                                ,OTTAWA                                  ,K1P 5N9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,PLACE DE VILLE                                                                                      ,112,KENT                                                                                                ,OTTAWA                                  ,K1P 5P2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,CENTENNIAL TOWERS                                                                                   ,200,KENT                                                                                                ,OTTAWA                                  ,K2P 2J8   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,"NATIONAL RESEARCH COUNCIL NRC"" - BUILDING M1""                                                       ",1200,MONTRÉAL                                                                                            ,OTTAWA                                  ,K1A 0R6   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - BILLINGS BRANCH - BILLINGS BRIDGE PLAZA - MAIN LEVEL                              ,2269,RIVERSIDE                                                                                           ,OTTAWA                                  ,K1H 8K2   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,C.D. HOWE BUILDING                                                                                  ,240,SPARKS                                                                                              ,OTTAWA                                  ,K1P 6C9   ,ONTARIO                                 ,CANADA                                                      ,N
ALTERNA SAVINGS AND CREDIT UNION LIMITED                                        ,ALTERNA SAVINGS - SPARKS BRANCH                                                                     ,61,SPARKS                                                                                              ,OTTAWA                                  ,K1P 5A5   ,ONTARIO                                 ,CANADA                                                      ,N
